SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
sn1998aq.m08_binned.txt,Sa,Ia 91bg-like/2005bl/CAFOS phase-band : -5.91B,1.4424419,nan,0.0,0.6,-5.91,B,nan,nan,-inf,inf
sn1998aq.m08_binned.txt,Sa,Ia 91bg-like/2005bl/DOLORES phase-band : 11.0B,nan,0.8091623,0.0,0.8,11.0,B,nan,nan,-inf,inf
sn1998aq.m08_binned.txt,Sa,Ia 91bg-like/2005bl/DOLORES phase-band : 3.0B,0.9751068,nan,0.0,0.8,3.0,B,nan,nan,-inf,inf
sn1998aq.m08_binned.txt,Sa,Ia 91bg-like/2005bl/WFCCD phase-band : -3.87B,1.2597752,nan,0.0,0.6,-3.87,B,nan,nan,-inf,inf
sn1998aq.m08_binned.txt,E,Ia 91bg-like/2005bl/WFCCD phase-band : -6.87B,0.55317295,nan,0.0,-2.0,-6.87,B,nan,nan,-inf,inf
sn1998aq.m08_binned.txt,S0,Ia-CSM-(ambigious)/2002ic/BC-Magellan phase-band : 2.0B,1.2947398,nan,0.0,0.6,2.0,B,nan,nan,-inf,inf
sn1998aq.m08_binned.txt,S0,Ia-CSM-(ambigious)/2002ic/BC-duPont phase-band : 30.0B,1.6309041,nan,0.0,0.6,30.0,B,nan,nan,-inf,inf
sn1998aq.m08_binned.txt,S0,Ia-CSM-(ambigious)/2002ic/BC-duPont phase-band : 6.0B,1.447799,nan,0.0,0.6,6.0,B,nan,nan,-inf,inf
sn1998aq.m08_binned.txt,S0,Ia-CSM-(ambigious)/2012ca/EFOSC2-NTT phase-band : -5.6R,1.6299765,nan,0.0,0.6,-5.6,R,nan,nan,-inf,inf
